ID;URL's de las imágenes;Precio Final;Cantidad;Estado;Nombre;Descripción;Categorias;Precio Base;Precio Venta;Cantidad mínima;Nombre de la imagen;Folder
;http://localhost:8888/joyeria/imgtemp/IMG_3154.JPG;;200;1;Juego bvlgari zirconia saliente;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3154.JPG;acero_20160649
;http://localhost:8888/joyeria/imgtemp/IMG_3155.JPG;;200;1;Anillo alianza tiffany corazon ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3155.JPG;acero_20160650
;http://localhost:8888/joyeria/imgtemp/IMG_3156.JPG;;200;1;Juego triple argolla bvlgari;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3156.JPG;acero_20160651
;http://localhost:8888/joyeria/imgtemp/IMG_3157.JPG;;200;1;Juego gucci corazon ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3157.JPG;acero_20160652
;http://localhost:8888/joyeria/imgtemp/IMG_3158.JPG;;200;1;Juego cartier tornillo ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3158.JPG;acero_20160653
;http://localhost:8888/joyeria/imgtemp/IMG_3159.JPG;;200;1;Juego channel mo¤o;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3159.JPG;acero_20160654
;http://localhost:8888/joyeria/imgtemp/IMG_3160.JPG;;200;1;Juego cartier ceramica ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3160.JPG;acero_20160655
;http://localhost:8888/joyeria/imgtemp/IMG_3161.JPG;;200;1;Juego tiffany argolla ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3161.JPG;acero_20160656
;http://localhost:8888/joyeria/imgtemp/IMG_3162.JPG;;200;1;Juego cuadro tous madre perla;acero existente en acero solo amarillo;1,4;;;;IMG_3162.JPG;acero_20160657
;http://localhost:8888/joyeria/imgtemp/IMG_3163.JPG;;200;1;Juego mk cruz con zirconia;acero existente en acero solo amarillo;1,4;;;;IMG_3163.JPG;acero_20160658
;http://localhost:8888/joyeria/imgtemp/IMG_3164.JPG;;200;1;Media arracada cartier baguette;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3164.JPG;acero_20160659
;http://localhost:8888/joyeria/imgtemp/IMG_3165.JPG;;200;1;Broquel redondo cartier con lineas;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3165.JPG;acero_20160660
