ID;Imagen;Nombre;Referencia;Categoría;Precio base;Precio final;Cantidad;Estado
131;http://localhost:8888/joyeria/img/p/1/3/1/131.jpg;Juego mk zirconia con onix;131;Mujer;0;0;200;1
628;http://localhost:8888/joyeria/img/p/6/2/8/628.jpg;Pulsera;628;Raíz;139;250.2;200;1
514;http://localhost:8888/joyeria/img/p/5/1/4/514.jpg;Gargantilla;514;Raíz;93;167.4;200;1
1;http://localhost:8888/joyeria/img/p/1/1.jpg;Juego bvlgari;1;Mujer;0;0;200;1
41;http://localhost:8888/joyeria/img/p/4/1/41.jpg;Juego cuadro tous madre perla;41;Mujer;0;0;200;1
106;http://localhost:8888/joyeria/img/p/1/0/6/106.jpg;Juego cartier 2 zirconias;106;Mujer;0;0;200;1
603;http://localhost:8888/joyeria/img/p/6/0/3/603.jpg;Pulsera;603;Raíz;135;243;200;1
489;http://localhost:8888/joyeria/img/p/4/8/9/489.jpg;Gargantilla;489;Raíz;297;534.6;200;1
670;http://localhost:8888/joyeria/img/p/6/7/0/670.jpg;Collar;670;Raíz;114;205.2;200;1
553;http://localhost:8888/joyeria/img/p/5/5/3/553.jpg;Gargantilla;553;Raíz;208;374.4;200;1
16;http://localhost:8888/joyeria/img/p/1/6/16.jpg;Juego bvlgari zirconia;16;Mujer;0;0;200;1
80;http://localhost:8888/joyeria/img/p/8/0/80.jpg;Pulso mk animal print;80;Mujer;0;0;200;1
578;http://localhost:8888/joyeria/img/p/5/7/8/578.jpg;Pulsera;578;Raíz;90;162;200;1
147;http://localhost:8888/joyeria/img/p/1/4/7/147.jpg;Juego bvlgari flor;147;Mujer;0;0;200;1
642;http://localhost:8888/joyeria/img/p/6/4/2/642.jpg;Collar;642;Raíz;316;568.8;200;1
528;http://localhost:8888/joyeria/img/p/5/2/8/528.jpg;Gargantilla;528;Raíz;198;356.4;200;1
503;http://localhost:8888/joyeria/img/p/5/0/3/503.jpg;Gargantilla;503;Raíz;270;486;200;1
55;http://localhost:8888/joyeria/img/p/5/5/55.jpg;Broquel bvlgari colgante zirconia;55;Mujer;0;0;200;1
120;http://localhost:8888/joyeria/img/p/1/2/0/120.jpg;Broquel cartier madre perla;120;Mujer;0;0;200;1
617;http://localhost:8888/joyeria/img/p/6/1/7/617.jpg;Pulsera;617;Raíz;84;151.2;200;1
30;http://localhost:8888/joyeria/img/p/3/0/30.jpg;Anillo cartier zirconia;30;Mujer;0;0;200;1
95;http://localhost:8888/joyeria/img/p/9/5/95.jpg;Juego tous madre perla y onix;95;Mujer;0;0;200;1
592;http://localhost:8888/joyeria/img/p/5/9/2/592.jpg;Pulsera;592;Raíz;88;158.4;200;1
161;http://localhost:8888/joyeria/img/p/1/6/1/161.jpg;Broquel tous perla;161;Mujer;0;0;200;1
659;http://localhost:8888/joyeria/img/p/6/5/9/659.jpg;Collar;659;Raíz;201;361.8;200;1
542;http://localhost:8888/joyeria/img/p/5/4/2/542.jpg;Gargantilla;542;Raíz;252;453.6;200;1
69;http://localhost:8888/joyeria/img/p/6/9/69.jpg;Juego cartier corazon madre perla;69;Mujer;0;0;200;1
567;http://localhost:8888/joyeria/img/p/5/6/7/567.jpg;Pulsera;567;Raíz;59;106.2;200;1
134;http://localhost:8888/joyeria/img/p/1/3/4/134.jpg;Juego channel logo;134;Mujer;0;0;200;1
631;http://localhost:8888/joyeria/img/p/6/3/1/631.jpg;Collar;631;Raíz;143;257.4;200;1
517;http://localhost:8888/joyeria/img/p/5/1/7/517.jpg;Gargantilla;517;Raíz;177;318.6;200;1
5;http://localhost:8888/joyeria/img/p/5/5.jpg;Pulso Tous;5;Mujer;0;0;200;1
44;http://localhost:8888/joyeria/img/p/4/4/44.jpg;Broquel redondo cartier con lineas;44;Mujer;0;0;200;1
109;http://localhost:8888/joyeria/img/p/1/0/9/109.jpg;Juego channel zirconia;109;Mujer;0;0;200;1
606;http://localhost:8888/joyeria/img/p/6/0/6/606.jpg;Pulsera;606;Raíz;57;102.6;200;1
492;http://localhost:8888/joyeria/img/p/4/9/2/492.jpg;Gargantilla;492;Raíz;172;309.6;200;1
673;http://localhost:8888/joyeria/img/p/6/7/3/673.jpg;Collar;673;Raíz;208;374.4;200;1
19;http://localhost:8888/joyeria/img/p/1/9/19.jpg;Juego tous marco zirconia;19;Mujer;0;0;200;1
83;http://localhost:8888/joyeria/img/p/8/3/83.jpg;Pulso mk cuadro zirconia onix;83;Mujer;0;0;200;1
581;http://localhost:8888/joyeria/img/p/5/8/1/581.jpg;Pulsera;581;Raíz;83;149.4;200;1
