Imagen;Categoria;Precio Base;Precio Final;Cantidad;Nombre
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR370C $255.JPG;"1,9";255;408;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR379C $198.JPG;"1,9";198;316.8;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR383C $156.JPG;"1,9";156;249.6;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR387C $270.JPG;"1,9";270;432;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR393C $317.JPG;"1,9";317;507.2;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR394C $187.JPG;"1,9";187;299.2;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR398C $291.JPG;"1,9";291;465.6;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR401C $57.JPG;"1,9";57;91.2;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR407C $188.JPG;"1,9";188;300.8;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR409C $226.JPG;"1,9";226;361.6;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR410C $260.JPG;"1,9";260;416;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR411C $199.JPG;"1,9";199;318.4;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR412C $321.JPG;"1,9";321;513.6;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR417C $261.JPG;"1,9";261;417.6;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR418C $160.JPG;"1,9";160;256;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR426C $252.JPG;"1,9";252;403.2;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR427C $297.JPG;"1,9";297;475.2;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR428C $236.JPG;"1,9";236;377.6;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR429C $248.JPG;"1,9";248;396.8;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR430C $125.JPG;"1,9";125;200;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR431C $325.JPG;"1,9";325;520;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR432C $325.JPG;"1,9";325;520;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR433C $205.JPG;"1,9";205;328;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR436C $164.JPG;"1,9";164;262.4;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR437C $236.JPG;"1,9";236;377.6;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR439C $187.JPG;"1,9";187;299.2;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR443C $208.JPG;"1,9";208;332.8;200;Gargantilla
