ID;URL's de las imágenes;Precio Final;Cantidad;Estado;Nombre;Descripción;Categorias;Precio Base;Precio Venta;Cantidad mínima;Nombre de la imagen;Folder;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3143.JPG;;200;1;Arete largo channel num. 5;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3143.JPG;acero_20160638;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3144.JPG;;200;1;Pulso tiffany corazon grueso;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3144.JPG;acero_20160639;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3145.JPG;;200;1;Broquel bvlgari madre perla ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3145.JPG;acero_20160640;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3146.JPG;;200;1;Broquel bvlgari clasico onix ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3146.JPG;acero_20160641;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3147.JPG;;200;1;Media arracada cartier;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3147.JPG;acero_20160642;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3148.JPG;;200;1;Pulso cartier con desarmador;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3148.JPG;acero_20160643;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3149.JPG;;200;1;Arracada cartier con argolla ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3149.JPG;acero_20160644;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3150.JPG;;200;1;Anillo cartier zirconia ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3150.JPG;acero_20160645;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3151.JPG;;200;1;Juego cartier zirconia 3 argollas;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3151.JPG;acero_20160646;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3152.JPG;;200;1;Anillo alianza channel;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3152.JPG;acero_20160647;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3153.JPG;;200;1;Juego mk con marquiz;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3153.JPG;acero_20160648;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3154.JPG;;200;1;Juego bvlgari zirconia saliente;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3154.JPG;acero_20160649;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3155.JPG;;200;1;Anillo alianza tiffany corazon ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3155.JPG;acero_20160650;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3156.JPG;;200;1;Juego triple argolla bvlgari;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3156.JPG;acero_20160651;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3157.JPG;;200;1;Juego gucci corazon ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3157.JPG;acero_20160652;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3158.JPG;;200;1;Juego cartier tornillo ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3158.JPG;acero_20160653;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3159.JPG;;200;1;Juego channel mo¤o;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3159.JPG;acero_20160654;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3160.JPG;;200;1;Juego cartier ceramica ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3160.JPG;acero_20160655;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3161.JPG;;200;1;Juego tiffany argolla ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3161.JPG;acero_20160656;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3162.JPG;;200;1;Juego cuadro tous madre perla;acero existente en acero solo amarillo;1,4;;;;IMG_3162.JPG;acero_20160657;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3163.JPG;;200;1;Juego mk cruz con zirconia;acero existente en acero solo amarillo;1,4;;;;IMG_3163.JPG;acero_20160658;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3164.JPG;;200;1;Media arracada cartier baguette;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3164.JPG;acero_20160659;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3165.JPG;;200;1;Broquel redondo cartier con lineas;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3165.JPG;acero_20160660;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3166.JPG;;200;1;Pulso piel acero ferragamo;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3166.JPG;acero_20160661;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3167.JPG;;200;1;Pulso rolex eslabon clasico ;acero existente solo en amarillo y plata;1,4;;;;IMG_3167.JPG;acero_20160662;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3169.JPG;;200;1;Pulso rolex eslabon clasico ;acero existente solo en amarillo y plata;1,4;;;;IMG_3169.JPG;acero_20160663;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3170.JPG;;200;1;Pulso herradura ferragamo piel ;acero existente solo en amarillo y plata;1,4;;;;IMG_3170.JPG;acero_20160664;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3171.JPG;;200;1;Pulso rolex ancla ;acero existente solo en amarillo y plata;1,4;;;;IMG_3171.JPG;acero_20160665;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3172.JPG;;200;1;Pulso flecha rolex ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3172.JPG;acero_20160666;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3173.JPG;;200;1;Pulso herradura ferragamo piel ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3173.JPG;acero_20160667;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3174.JPG;;200;1;Pulso flecha rolex ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3174.JPG;acero_20160668;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3175.JPG;;200;1;Broquel tiffany dog;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3175.JPG;acero_20160669;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3176.JPG;;200;1;Juego tous redondo;acero existente en acero solo amarillo;1,4;;;;IMG_3176.JPG;acero_20160670;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3177.JPG;;200;1;Broquel bvlgari colgante zirconia;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3177.JPG;acero_20160671;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3178.JPG;;200;1;Broquel bvlgari rombo zirconia ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3178.JPG;acero_20160672;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3179.JPG;;200;1;Juego tous perla zirconia;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3179.JPG;acero_20160673;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3180.JPG;;200;1;Arracada channel zirconia;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3180.JPG;acero_20160674;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3181.JPG;;200;1;Arracada cartier con esmalte;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3181.JPG;acero_20160675;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3182.JPG;;200;1;Arete tiffany corazon turquesa;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3182.JPG;acero_20160676;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3183.JPG;;200;1;Broquel bvlgari onix rueda saliente;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3183.JPG;acero_20160677;;;;;;;;;;;;;
